w,eyedist,nosedist,area,target
122,61.34329629226001,24.919871588754223,764.3335332170112,1
122,62.353829072479584,25.826343140289914,805.1856928684215,1
122,64.37390775772433,25.826343140289914,831.2713155161797,1
122,64.50581369148055,25.826343140289914,832.974639469894,1
122,62.20128616033595,24.819347291981714,771.8976616106568,1
122,64.22616289332565,24.677925358506133,792.4842269723733,1
122,65.23802572120036,25.69046515733026,837.9976133617565,1
122,63.36402764976355,25.92296279363144,821.2916656097273,1
122,64.37390775772433,24.819347291981714,798.859186590478,1
122,64.37390775772433,24.819347291981714,798.859186590478,1
122,62.489999199871974,25.92296279363144,809.9629621161698,1
122,61.48170459575759,23.916521486202797,735.2142544864048,1
122,59.464274989274024,23.811761799581316,707.9745758146969,1
122,62.80127387243033,24.919871588754223,782.4998402555747,1
122,65.93178292750773,25.92296279363144,854.5735778737837,1
122,63.92964883369844,26.981475126464083,862.458114925009,1
122,65.87867636800242,25.92296279363144,853.8852381907068,1
122,64.8074069840786,25.92296279363144,840.0,1
122,65.72670690061993,25.826343140289914,848.7402429483357,1
122,63.80438856379708,26.0,829.4570513293621,1
122,63.80438856379708,25.92296279363144,826.9993954048576,1
122,62.71363488110062,25.92296279363144,812.8616118380792,1
122,65.72670690061993,25.92296279363144,851.9154887663447,1
122,65.72670690061993,24.919871588754223,818.9505479575673,1
122,61.7980582219215,26.981475126464083,833.7013853892771,1
122,63.874877690685246,24.919871588754223,795.8768748996291,1
122,63.80438856379708,24.819347291981714,791.7916392587131,1
122,63.80438856379708,24.819347291981714,791.7916392587131,1
122,63.80438856379708,24.819347291981714,791.7916392587131,1
122,63.61603571427569,24.819347291981714,789.4542418658601,1
122,67.88225099390856,25.826343140289914,876.5751536519842,1
122,62.928530890209096,24.819347291981714,780.9225313691494,1
122,63.92964883369844,23.916521486202797,764.4874099682742,1
122,63.80438856379708,25.826343140289914,823.9170164525066,1
122,63.80438856379708,24.919871588754223,794.9985849044009,1
122,63.92964883369844,24.919871588754223,796.5593198249582,1
122,63.92964883369844,25.92296279363144,828.6229540629441,1
122,63.99218702310463,24.979991993593593,799.2621597448488,1
